Level id sid word tag idx in_coca-n spell_error document_id source_id subject score dalechall flesch fog kincaid rgl level1 level1pct level2 level2pct level3 level3pct level4 level4pct level5 level5pct level6 level6pct level7 level7pct level567 level567pct tokennum typenum typedivtoken lemmanum stddev sentnum avgsentlen linksentnum linksentpct spellerr ngrams2_appear ngrams2_total ngrams2_appear_ratio ngrams3_appear ngrams3_total ngrams3_appear_ratio ngrams4_appear ngrams4_total ngrams4_appear_ratio ngrams5_appear ngrams5_total ngrams5_appear_ratio AWLratio 
Level=I id=2280 sid=2280 word=Japaness tag=NNP idx=4 in_coca-n=0 spell_error= document_id=220 source_id=0220 subject=IW-0803 score=B dalechall=6.45893 flesch=70.575 fog=10.4667 kincaid=6.39667 rgl=7 level1=50 level1pct=78.125 level2=1 level2pct=1.5625 level3=5 level3pct=7.8125 level4=2 level4pct=3.125 level5=0 level5pct=0 level6=2 level6pct=3.125 level7=8 level7pct=12.5 level567=10 level567pct=15.625 tokennum=120 typenum=74 typedivtoken=0.616667 lemmanum=64 stddev=4.92161 sentnum=9 avgsentlen=13.3333 linksentnum=4 linksentpct=0.444444 spellerr=1 ngrams2_appear=88 ngrams2_total=110 ngrams2_appear_ratio=0.8 ngrams3_appear=54 ngrams3_total=101 ngrams3_appear_ratio=0.534653 ngrams4_appear=25 ngrams4_total=92 ngrams4_appear_ratio=0.271739 ngrams5_appear=7 ngrams5_total=83 ngrams5_appear_ratio=0.0843373 AWLratio=0.0540541 
Level=I id=2282 sid=2282 word=Japaness tag=NNPS idx=9 in_coca-n=0 spell_error= document_id=220 source_id=0220 subject=IW-0803 score=B dalechall=6.45893 flesch=70.575 fog=10.4667 kincaid=6.39667 rgl=7 level1=50 level1pct=78.125 level2=1 level2pct=1.5625 level3=5 level3pct=7.8125 level4=2 level4pct=3.125 level5=0 level5pct=0 level6=2 level6pct=3.125 level7=8 level7pct=12.5 level567=10 level567pct=15.625 tokennum=120 typenum=74 typedivtoken=0.616667 lemmanum=64 stddev=4.92161 sentnum=9 avgsentlen=13.3333 linksentnum=4 linksentpct=0.444444 spellerr=1 ngrams2_appear=88 ngrams2_total=110 ngrams2_appear_ratio=0.8 ngrams3_appear=54 ngrams3_total=101 ngrams3_appear_ratio=0.534653 ngrams4_appear=25 ngrams4_total=92 ngrams4_appear_ratio=0.271739 ngrams5_appear=7 ngrams5_total=83 ngrams5_appear_ratio=0.0843373 AWLratio=0.0540541 
Level=I id=4500 sid=4500 word=Japaness tag=NNS idx=8 in_coca-n=0 spell_error= document_id=437 source_id=0437 subject=IW-0802 score=B dalechall=7.65692 flesch=74.3067 fog=7.35958 kincaid=5.15 rgl=9 level1=42 level1pct=66.6667 level2=5 level2pct=7.93651 level3=2 level3pct=3.1746 level4=3 level4pct=4.7619 level5=0 level5pct=0 level6=0 level6pct=0 level7=7 level7pct=11.1111 level567=7 level567pct=11.1111 tokennum=124 typenum=70 typedivtoken=0.564516 lemmanum=63 stddev=2.89868 sentnum=13 avgsentlen=9.46154 linksentnum=8 linksentpct=0.615385 spellerr=5 ngrams2_appear=87 ngrams2_total=110 ngrams2_appear_ratio=0.790909 ngrams3_appear=61 ngrams3_total=97 ngrams3_appear_ratio=0.628866 ngrams4_appear=36 ngrams4_total=84 ngrams4_appear_ratio=0.428571 ngrams5_appear=14 ngrams5_total=71 ngrams5_appear_ratio=0.197183 AWLratio=0.0285714 
Level=I id=4707 sid=4707 word=Japaness tag=JJ idx=0 in_coca-n=0 spell_error= document_id=457 source_id=0457 subject=IW-0803 score=C dalechall=5.4446 flesch=81.0647 fog=8.13333 kincaid=4.02267 rgl=5 level1=34 level1pct=85 level2=1 level2pct=2.5 level3=0 level3pct=0 level4=0 level4pct=0 level5=0 level5pct=0 level6=0 level6pct=0 level7=7 level7pct=17.5 level567=7 level567pct=17.5 tokennum=76 typenum=43 typedivtoken=0.565789 lemmanum=40 stddev=2.58199 sentnum=9 avgsentlen=8.33333 linksentnum=4 linksentpct=0.444444 spellerr=1 ngrams2_appear=51 ngrams2_total=66 ngrams2_appear_ratio=0.772727 ngrams3_appear=36 ngrams3_total=57 ngrams3_appear_ratio=0.631579 ngrams4_appear=19 ngrams4_total=48 ngrams4_appear_ratio=0.395833 ngrams5_appear=2 ngrams5_total=39 ngrams5_appear_ratio=0.0512821 AWLratio=0 
Level=I id=4783 sid=4783 word=Japaness tag=NNP idx=4 in_coca-n=0 spell_error= document_id=464 source_id=0464 subject=IW-0803 score=A dalechall=6.42555 flesch=73.0538 fog=11.209 kincaid=7.78992 rgl=7 level1=54 level1pct=77.1429 level2=4 level2pct=5.71429 level3=2 level3pct=2.85714 level4=0 level4pct=0 level5=0 level5pct=0 level6=0 level6pct=0 level7=11 level7pct=15.7143 level567=11 level567pct=15.7143 tokennum=135 typenum=75 typedivtoken=0.555556 lemmanum=70 stddev=13.8151 sentnum=7 avgsentlen=19 linksentnum=3 linksentpct=0.428571 spellerr=4 ngrams2_appear=106 ngrams2_total=126 ngrams2_appear_ratio=0.84127 ngrams3_appear=91 ngrams3_total=119 ngrams3_appear_ratio=0.764706 ngrams4_appear=65 ngrams4_total=112 ngrams4_appear_ratio=0.580357 ngrams5_appear=31 ngrams5_total=105 ngrams5_appear_ratio=0.295238 AWLratio=0.0133333 
Level=I id=4786 sid=4786 word=Japaness tag=NNS idx=0 in_coca-n=0 spell_error= document_id=464 source_id=0464 subject=IW-0803 score=A dalechall=6.42555 flesch=73.0538 fog=11.209 kincaid=7.78992 rgl=7 level1=54 level1pct=77.1429 level2=4 level2pct=5.71429 level3=2 level3pct=2.85714 level4=0 level4pct=0 level5=0 level5pct=0 level6=0 level6pct=0 level7=11 level7pct=15.7143 level567=11 level567pct=15.7143 tokennum=135 typenum=75 typedivtoken=0.555556 lemmanum=70 stddev=13.8151 sentnum=7 avgsentlen=19 linksentnum=3 linksentpct=0.428571 spellerr=4 ngrams2_appear=106 ngrams2_total=126 ngrams2_appear_ratio=0.84127 ngrams3_appear=91 ngrams3_total=119 ngrams3_appear_ratio=0.764706 ngrams4_appear=65 ngrams4_total=112 ngrams4_appear_ratio=0.580357 ngrams5_appear=31 ngrams5_total=105 ngrams5_appear_ratio=0.295238 AWLratio=0.0133333 
Level=I id=4787 sid=4787 word=Japaness tag=JJ idx=0 in_coca-n=0 spell_error= document_id=464 source_id=0464 subject=IW-0803 score=A dalechall=6.42555 flesch=73.0538 fog=11.209 kincaid=7.78992 rgl=7 level1=54 level1pct=77.1429 level2=4 level2pct=5.71429 level3=2 level3pct=2.85714 level4=0 level4pct=0 level5=0 level5pct=0 level6=0 level6pct=0 level7=11 level7pct=15.7143 level567=11 level567pct=15.7143 tokennum=135 typenum=75 typedivtoken=0.555556 lemmanum=70 stddev=13.8151 sentnum=7 avgsentlen=19 linksentnum=3 linksentpct=0.428571 spellerr=4 ngrams2_appear=106 ngrams2_total=126 ngrams2_appear_ratio=0.84127 ngrams3_appear=91 ngrams3_total=119 ngrams3_appear_ratio=0.764706 ngrams4_appear=65 ngrams4_total=112 ngrams4_appear_ratio=0.580357 ngrams5_appear=31 ngrams5_total=105 ngrams5_appear_ratio=0.295238 AWLratio=0.0133333 
Level=I id=5837 sid=5837 word=japaness tag=JJ idx=16 in_coca-n=0 spell_error= document_id=567 source_id=0567 subject=IW-0803 score=C dalechall=8.35494 flesch=54.2755 fog=10.8667 kincaid=8.79433 rgl=11 level1=28 level1pct=56 level2=9 level2pct=18 level3=0 level3pct=0 level4=1 level4pct=2 level5=1 level5pct=2 level6=0 level6pct=0 level7=8 level7pct=16 level567=9 level567pct=18 tokennum=76 typenum=53 typedivtoken=0.697368 lemmanum=50 stddev=6.0208 sentnum=6 avgsentlen=12.5 linksentnum=3 linksentpct=0.5 spellerr=5 ngrams2_appear=56 ngrams2_total=69 ngrams2_appear_ratio=0.811594 ngrams3_appear=31 ngrams3_total=63 ngrams3_appear_ratio=0.492063 ngrams4_appear=9 ngrams4_total=57 ngrams4_appear_ratio=0.157895 ngrams5_appear=1 ngrams5_total=51 ngrams5_appear_ratio=0.0196078 AWLratio=0 
Level=I id=6222 sid=6222 word=Japaness tag=NNPS idx=4 in_coca-n=0 spell_error= document_id=602 source_id=0602 subject=IW-0803 score=B dalechall=6.1373 flesch=74.6238 fog=8.0326 kincaid=5.5697 rgl=7 level1=81 level1pct=81 level2=3 level2pct=3 level3=3 level3pct=3 level4=1 level4pct=1 level5=0 level5pct=0 level6=0 level6pct=0 level7=16 level7pct=16 level567=16 level567pct=16 tokennum=201 typenum=110 typedivtoken=0.547264 lemmanum=100 stddev=4.06606 sentnum=17 avgsentlen=11.7647 linksentnum=8 linksentpct=0.470588 spellerr=1 ngrams2_appear=166 ngrams2_total=184 ngrams2_appear_ratio=0.902174 ngrams3_appear=127 ngrams3_total=168 ngrams3_appear_ratio=0.755952 ngrams4_appear=64 ngrams4_total=152 ngrams4_appear_ratio=0.421053 ngrams5_appear=27 ngrams5_total=136 ngrams5_appear_ratio=0.198529 AWLratio=0.0272727 
Level=I id=6437 sid=6437 word=Japaness tag=VBZ idx=3 in_coca-n=0 spell_error= document_id=623 source_id=0623 subject=IW-0803 score=B dalechall=7.31894 flesch=52.265 fog=11.6444 kincaid=10.4411 rgl=9 level1=9 level1pct=69.2308 level2=0 level2pct=0 level3=0 level3pct=0 level4=0 level4pct=0 level5=0 level5pct=0 level6=0 level6pct=0 level7=4 level7pct=30.7692 level567=4 level567pct=30.7692 tokennum=18 typenum=15 typedivtoken=0.833333 lemmanum=13 stddev=1 sentnum=2 avgsentlen=9 linksentnum=0 linksentpct=0 spellerr=2 ngrams2_appear=9 ngrams2_total=16 ngrams2_appear_ratio=0.5625 ngrams3_appear=2 ngrams3_total=14 ngrams3_appear_ratio=0.142857 ngrams4_appear=0 ngrams4_total=12 ngrams4_appear_ratio=0 ngrams5_appear=0 ngrams5_total=10 ngrams5_appear_ratio=0 AWLratio=0 
Level=I id=8677 sid=8677 word=Japaness tag=NNP idx=2 in_coca-n=0 spell_error= document_id=833 source_id=0833 subject=IW-0803 score=B dalechall=6.04765 flesch=72.0935 fog=9.67179 kincaid=6.18487 rgl=7 level1=60 level1pct=69.7674 level2=7 level2pct=8.13953 level3=4 level3pct=4.65116 level4=1 level4pct=1.16279 level5=1 level5pct=1.16279 level6=2 level6pct=2.32558 level7=11 level7pct=12.7907 level567=14 level567pct=16.2791 tokennum=158 typenum=91 typedivtoken=0.575949 lemmanum=86 stddev=6.04422 sentnum=13 avgsentlen=12.0769 linksentnum=4 linksentpct=0.307692 spellerr=4 ngrams2_appear=128 ngrams2_total=145 ngrams2_appear_ratio=0.882759 ngrams3_appear=89 ngrams3_total=133 ngrams3_appear_ratio=0.669173 ngrams4_appear=46 ngrams4_total=121 ngrams4_appear_ratio=0.380165 ngrams5_appear=13 ngrams5_total=109 ngrams5_appear_ratio=0.119266 AWLratio=0.010989 
Level=I id=9040 sid=9040 word=Japaness tag=NNP idx=3 in_coca-n=0 spell_error= document_id=867 source_id=0867 subject=IW-0803 score=B dalechall=6.65327 flesch=71.924 fog=8.62596 kincaid=5.67344 rgl=7 level1=45 level1pct=70.3125 level2=9 level2pct=14.0625 level3=0 level3pct=0 level4=0 level4pct=0 level5=0 level5pct=0 level6=0 level6pct=0 level7=9 level7pct=14.0625 level567=9 level567pct=14.0625 tokennum=130 typenum=68 typedivtoken=0.523077 lemmanum=64 stddev=8.4689 sentnum=12 avgsentlen=10.6667 linksentnum=3 linksentpct=0.25 spellerr=3 ngrams2_appear=98 ngrams2_total=116 ngrams2_appear_ratio=0.844828 ngrams3_appear=48 ngrams3_total=105 ngrams3_appear_ratio=0.457143 ngrams4_appear=10 ngrams4_total=94 ngrams4_appear_ratio=0.106383 ngrams5_appear=3 ngrams5_total=84 ngrams5_appear_ratio=0.0357143 AWLratio=0.0149254 
Level=I id=9817 sid=9817 word=Japaness tag=VBZ idx=4 in_coca-n=0 spell_error= document_id=942 source_id=0942 subject=IW-0803 score=B dalechall=5.53836 flesch=77.6317 fog=8.39508 kincaid=6.2198 rgl=5 level1=54 level1pct=84.375 level2=2 level2pct=3.125 level3=1 level3pct=1.5625 level4=1 level4pct=1.5625 level5=0 level5pct=0 level6=0 level6pct=0 level7=8 level7pct=12.5 level567=8 level567pct=12.5 tokennum=123 typenum=69 typedivtoken=0.560976 lemmanum=64 stddev=6.29128 sentnum=9 avgsentlen=13.5556 linksentnum=2 linksentpct=0.222222 spellerr=0 ngrams2_appear=93 ngrams2_total=113 ngrams2_appear_ratio=0.823009 ngrams3_appear=76 ngrams3_total=104 ngrams3_appear_ratio=0.730769 ngrams4_appear=51 ngrams4_total=95 ngrams4_appear_ratio=0.536842 ngrams5_appear=17 ngrams5_total=86 ngrams5_appear_ratio=0.197674 AWLratio=0 
Level=I id=10221 sid=10221 word=Japaness tag=NNS idx=0 in_coca-n=0 spell_error= document_id=981 source_id=0981 subject=IW-0803 score=D dalechall=5.90118 flesch=79.8694 fog=8.41724 kincaid=3.92026 rgl=5 level1=21 level1pct=80.7692 level2=1 level2pct=3.84615 level3=0 level3pct=0 level4=0 level4pct=0 level5=0 level5pct=0 level6=0 level6pct=0 level7=1 level7pct=3.84615 level567=1 level567pct=3.84615 tokennum=29 typenum=26 typedivtoken=0.896552 lemmanum=26 stddev=2.86138 sentnum=4 avgsentlen=7.25 linksentnum=1 linksentpct=0.25 spellerr=3 ngrams2_appear=21 ngrams2_total=25 ngrams2_appear_ratio=0.84 ngrams3_appear=14 ngrams3_total=21 ngrams3_appear_ratio=0.666667 ngrams4_appear=3 ngrams4_total=17 ngrams4_appear_ratio=0.176471 ngrams5_appear=0 ngrams5_total=13 ngrams5_appear_ratio=0 AWLratio=0 
Level=I id=10592 sid=10592 word=Japaness tag=NNP idx=7 in_coca-n=0 spell_error= document_id=1018 source_id=1018 subject=IW-0803 score=C dalechall=6.34425 flesch=73.4111 fog=7.55062 kincaid=5.2558 rgl=7 level1=37 level1pct=78.7234 level2=2 level2pct=4.25532 level3=1 level3pct=2.12766 level4=1 level4pct=2.12766 level5=0 level5pct=0 level6=1 level6pct=2.12766 level7=4 level7pct=8.51064 level567=5 level567pct=10.6383 tokennum=81 typenum=52 typedivtoken=0.641975 lemmanum=47 stddev=3.12694 sentnum=9 avgsentlen=9 linksentnum=5 linksentpct=0.555556 spellerr=2 ngrams2_appear=58 ngrams2_total=72 ngrams2_appear_ratio=0.805556 ngrams3_appear=37 ngrams3_total=63 ngrams3_appear_ratio=0.587302 ngrams4_appear=13 ngrams4_total=54 ngrams4_appear_ratio=0.240741 ngrams5_appear=3 ngrams5_total=45 ngrams5_appear_ratio=0.0666667 AWLratio=0 
Level=I id=10594 sid=10594 word=Japaness tag=NNP idx=4 in_coca-n=0 spell_error= document_id=1018 source_id=1018 subject=IW-0803 score=C dalechall=6.34425 flesch=73.4111 fog=7.55062 kincaid=5.2558 rgl=7 level1=37 level1pct=78.7234 level2=2 level2pct=4.25532 level3=1 level3pct=2.12766 level4=1 level4pct=2.12766 level5=0 level5pct=0 level6=1 level6pct=2.12766 level7=4 level7pct=8.51064 level567=5 level567pct=10.6383 tokennum=81 typenum=52 typedivtoken=0.641975 lemmanum=47 stddev=3.12694 sentnum=9 avgsentlen=9 linksentnum=5 linksentpct=0.555556 spellerr=2 ngrams2_appear=58 ngrams2_total=72 ngrams2_appear_ratio=0.805556 ngrams3_appear=37 ngrams3_total=63 ngrams3_appear_ratio=0.587302 ngrams4_appear=13 ngrams4_total=54 ngrams4_appear_ratio=0.240741 ngrams5_appear=3 ngrams5_total=45 ngrams5_appear_ratio=0.0666667 AWLratio=0 
Level=I id=11473 sid=11473 word=Japaness tag=NNP idx=4 in_coca-n=0 spell_error= document_id=1107 source_id=1107 subject=IW-0803 score=C dalechall=5.01962 flesch=88.1699 fog=7.64082 kincaid=4.43939 rgl=5 level1=48 level1pct=85.7143 level2=2 level2pct=3.57143 level3=0 level3pct=0 level4=0 level4pct=0 level5=0 level5pct=0 level6=0 level6pct=0 level7=7 level7pct=12.5 level567=7 level567pct=12.5 tokennum=100 typenum=60 typedivtoken=0.6 lemmanum=56 stddev=11.6726 sentnum=4 avgsentlen=24.5 linksentnum=1 linksentpct=0.25 spellerr=1 ngrams2_appear=77 ngrams2_total=91 ngrams2_appear_ratio=0.846154 ngrams3_appear=54 ngrams3_total=87 ngrams3_appear_ratio=0.62069 ngrams4_appear=31 ngrams4_total=83 ngrams4_appear_ratio=0.373494 ngrams5_appear=12 ngrams5_total=79 ngrams5_appear_ratio=0.151899 AWLratio=0 
Level=I id=13432 sid=13432 word=Japaness tag=NNP idx=5 in_coca-n=0 spell_error= document_id=1300 source_id=1300 subject=IW-0803 score=B dalechall=6.41916 flesch=67.8104 fog=11.9216 kincaid=8.67033 rgl=7 level1=46 level1pct=77.9661 level2=5 level2pct=8.47458 level3=1 level3pct=1.69492 level4=1 level4pct=1.69492 level5=0 level5pct=0 level6=0 level6pct=0 level7=8 level7pct=13.5593 level567=8 level567pct=13.5593 tokennum=99 typenum=67 typedivtoken=0.676768 lemmanum=59 stddev=4.75815 sentnum=5 avgsentlen=19.6 linksentnum=3 linksentpct=0.6 spellerr=1 ngrams2_appear=86 ngrams2_total=93 ngrams2_appear_ratio=0.924731 ngrams3_appear=60 ngrams3_total=88 ngrams3_appear_ratio=0.681818 ngrams4_appear=35 ngrams4_total=83 ngrams4_appear_ratio=0.421687 ngrams5_appear=14 ngrams5_total=78 ngrams5_appear_ratio=0.179487 AWLratio=0 
